title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 6785 - The Practice of QCF,"Case studies, visiting lecturers from financial institutions, student group projects of an advanced nature, and student reports, all centered around quantitative and computational finance. Crosslisted with ISYE and MGT 6785.",[],,MATH 6785,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Sudheer   Chava' 'Stephen   Demko' 'Shijie   Deng'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Sudheer Chava, Stephen Demko, and Shijie Deng"
MATH 6793 - Adv Topics in QCF,Advanced foundational material and analysis techniques in quantitative and computational finance. Crosslisted with ISYE 6793.,[],,MATH 6793,[],[],,
MATH 7012 - Enumerative Combinatoric,"Fundamental methods of enumeration and asymptotic analysis, including the use of inclusion/exclusion, generating functions, and recurrence relations.  Applications to strings over a finite alphabet and graphs.",['MATH 4032'],MATH 4032,MATH 7012,['fall2024' 'fall2020' 'fall2018' 'fall2015' 'spring2014'],"['Lutz Peter  Warnke' '' 'Josephine   Yu' 'William T.  Trotter'
 'Zdenek   Dvorak']","fall2024, fall2020, fall2018, fall2015, and spring2014","Lutz Peter Warnke, , Josephine Yu, William T. Trotter, and Zdenek Dvorak"
MATH 7014 - Advanced Graph Theory,Advanced topics in graph theory.  Selection of arguments varies every year.,['MATH 6014'],MATH 6014,MATH 7014,['spring2025' 'spring2023' 'spring2022' 'spring2021' 'spring2019'],['Xing X  Yu' 'Robin   Thomas'],"spring2025, spring2023, spring2022, spring2021, and spring2019","Xing X Yu, and Robin Thomas"
MATH 7016 - Combinatorics,"Fundamental combinatorial structures including hypergraphs, transversal sets, colorings, Sperner families, intersecting families, packings and coverings, perfect graphs, and Ramsey theory.  Algebraic and topological methods, applications.",['MATH 4022'],MATH 4022,MATH 7016,['spring2025' 'spring2015' 'spring2013' 'spring2011' 'spring2009'],['Thomas J  Kelly' 'William T.  Trotter' 'Asaf   Shapira' 'Sergey   Norin'],"spring2025, spring2015, spring2013, spring2011, and spring2009","Thomas J Kelly, William T. Trotter, Asaf Shapira, and Sergey Norin"
MATH 7018 - Probab Combinatorics,"Applications of probabilistic techniques in discrete mathematics, including classical ideas using expectation and variance as well as modern tools, such as martingale and correlation inequalities.","['MATH 6221', 'MATH 4022']",MATH 4022 and MATH 6221,MATH 7018,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Xiaoyu   He' 'Anton   Bernshteyn' 'Lutz Peter  Warnke' 'Esther   Ezra'
 'William T.  Trotter']","spring2025, spring2024, spring2023, spring2022, and spring2021","Xiaoyu He, Anton Bernshteyn, Lutz Peter Warnke, Esther Ezra, and William T. Trotter"
MATH 7244 - Stochastic Calculus I,An introduction to the Ito stochastic calculus and stochastic differential equations through a development of continuous-time martingales and Markov processes. First of two courses.,['MATH 6242'],MATH 6242,MATH 7244,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Michael Keith  Damron' 'Christian   Houdre' 'Ionel   Popescu'
 'Yury   Bakhtin']","fall2024, fall2023, fall2022, fall2021, and fall2020","Michael Keith Damron, Christian Houdre, Ionel Popescu, and Yury Bakhtin"
MATH 7245 - Stochastic Calculus II,An introduction to the Ito stochastic calculus and stochastic differential equations through a development of continuous-time martingales and Markov processes. Continuation of MATH 7244.,['MATH 7244'],MATH 7244,MATH 7245,['spring2025' 'spring2023' 'spring2022' 'spring2021' 'spring2020'],"['Galyna   Livshyts' 'Michael Keith  Damron' 'Christian   Houdre'
 'Ionel   Popescu' 'Yury   Bakhtin']","spring2025, spring2023, spring2022, spring2021, and spring2020","Galyna Livshyts, Michael Keith Damron, Christian Houdre, Ionel Popescu, and Yury Bakhtin"
MATH 7251 - High-Dim Probability,The goal of this PhD level graduate course is to provide a rigorous introduction to the methods of high-dimensional probability.,[],,MATH 7251,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],['Galyna   Livshyts' 'Vladimir   Koltchinskii' 'Konstantin   Tikhomirov'],"spring2025, spring2024, spring2023, spring2022, and spring2021","Galyna Livshyts, Vladimir Koltchinskii, and Konstantin Tikhomirov"
MATH 7252 - High-Dim Statistics,The goal of this PhD level graduate course is to provide a rigorous introduction to the methods of high-dimensional statistics,[],,MATH 7252,['fall2024' 'fall2023' 'fall2022' 'fall2021'],['Vladimir   Koltchinskii'],"fall2024, fall2023, fall2022, and fall2021",Vladimir Koltchinskii
MATH 7337 - Harmonic Analysis,Fourier analysis on the torus and Euclidean space.,"['MATH 6327', 'MATH 6337']",MATH 6327 or MATH 6337,MATH 7337,['fall2024' 'fall2023' 'fall2021' 'fall2019' 'fall2017'],['Sigal Shahaf  Nitzan' 'Michael   Lacey' 'Christopher E  Heil'],"fall2024, fall2023, fall2021, fall2019, and fall2017","Sigal Shahaf Nitzan, Michael Lacey, and Christopher E Heil"
MATH 7338 - Functional Analysis,"Spectral theory of bounded and unbounded operators, major theorems of functional analysis, additional topics.","['MATH 6338', 'MATH 6337']",MATH 6337 or MATH 6338,MATH 7338,['fall2024' 'fall2023' 'fall2022' 'fall2020' 'fall2018'],"['Tobias   Ried' 'John   McCuan' 'Michael   Loss' 'John   Etnyre'
 'Christopher E  Heil']","fall2024, fall2023, fall2022, fall2020, and fall2018","Tobias Ried, John McCuan, Michael Loss, John Etnyre, and Christopher E Heil"
MATH 7339 - Advanced Analysis,A comprehensive overview of advanced material in analysis. This is a Repeatable Course with 5 different subtitles;,[],,MATH 7339,['spring2025' 'spring2024'],['Michael   Loss' 'Sigal Shahaf  Nitzan'],"spring2025, and spring2024","Michael Loss, and Sigal Shahaf Nitzan"
