title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 4080 - Senior Project I,The first of a two-course sequence of faculty-directed independent research culminating in the writing of a senior thesis and its presentation.,[],,MATH 4080,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Rachel Autumn Dixon  Cummings' 'TBA' 'Kamran   Paynabar' 'Esther   Ezra'
 'Yao   Yao']","spring2025, spring2024, fall2024, spring2023, and fall2023","Rachel Autumn Dixon Cummings, TBA, Kamran Paynabar, Esther Ezra, and Yao Yao"
MATH 4090 - Senior Project II,The second course of a two-course sequence of faculty-directed independent research culminating in the writing of a senior thesis and its presentation.,[],,MATH 4090,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],['Eva K  Lee' 'TBA' '' 'Rachel Autumn Dixon  Cummings' 'Esther   Ezra'],"spring2025, spring2024, fall2024, spring2023, and fall2023","Eva K Lee, TBA, , Rachel Autumn Dixon Cummings, and Esther Ezra"
MATH 4107 - Abstract Algebra I,"This course develops in the theme of ""Arithmetic congruence and abstract algebraic structures"". Strong emphasis on theory and proofs.",['MATH 2106'],MATH 2106,MATH 4107,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Asaf   Katz' 'Jonathan   Simone' 'Abeer   Al-Ahmadieh'
 'Austin   Christian' 'Miriam   Kuzbary']","spring2025, spring2024, fall2024, spring2023, and fall2023","Asaf Katz, Jonathan Simone, Abeer Al-Ahmadieh, Austin Christian, and Miriam Kuzbary"
MATH 4108 - Abstract Algebra II,"Continuation of Abstract Algebra I, with emphasis on Galois theory, modules, polynomial fields, and the theory of linear associative algebra.",['MATH 4107'],MATH 4107,MATH 4108,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Jennifer C  Hom' 'Grigoriy   Blekherman' 'Yi-Chang   Chen'
 'Anton   Leykin' 'Joseph   Rabinoff']","spring2025, spring2024, spring2023, spring2022, and spring2021","Jennifer C Hom, Grigoriy Blekherman, Yi-Chang Chen, Anton Leykin, and Joseph Rabinoff"
MATH 4150 - Intro To Number Theory,"Primes and unique factorization, congruences, Chinese remainder theorem, Diophantine equations, Diophantine approximations, quadratic reciprocity.  Applications such as fast multiplication, factorization, and encryption.","['MATH 2106', 'CS 2051', 'CS 3511', 'CS 3510', 'MATH 2406']",MATH 2106 or MATH 2406 or CS 2051 or CS 3510 or CS 3511,MATH 4150,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Plamen   Iliev' 'Jonathan   Simone' 'Alexander   Dunn' 'Michael   Lacey'
 'Ernest   Croot']","spring2025, spring2024, fall2024, spring2023, and fall2023","Plamen Iliev, Jonathan Simone, Alexander Dunn, Michael Lacey, and Ernest Croot"
MATH 4210 - Mathematics of Data Sci,"Data science methods and their mathematical foundations: linear regression, classification, and clustering, kernel methods, regression trees and ensemble methods, dimension reduction.","['MATH 3215', 'MATH 3225', 'MATH 3670', 'MATH 3235']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670,MATH 4210,['fall2024' 'fall2023'],['Martin   Short' 'Wenjing   Liao'],"fall2024, and fall2023","Martin Short, and Wenjing Liao"
MATH 4221 - Stochastic Processes I,Simple random walk and the theory of discrete time Markov chains.,"['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770,MATH 4221,['spring2024' 'fall2024' 'fall2022' 'fall2021' 'fall2020'],"['Christian   Houdre' 'Corrine   Yap' 'Alperen   Ozdemir'
 'Michael Keith  Damron' 'Konstantin   Tikhomirov']","spring2024, fall2024, fall2022, fall2021, and fall2020","Christian Houdre, Corrine Yap, Alperen Ozdemir, Michael Keith Damron, and Konstantin Tikhomirov"
MATH 4222 - Stochastic Processes II,"Renewal theory, Poisson processes and continuous time Markov processes, including an introduction to Brownian motion and martingales.",['MATH 4221'],MATH 4221,MATH 4222,[],[],,
MATH 4255 - Monte Carlo Methods,"Probability distributions, limit laws, and applications through the computer.","['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770,MATH 4255,['spring2006'],['Federico   Bonetto'],spring2006,Federico Bonetto
MATH 4261 - Math Statistics I,"Sampling distributions, Normal, t, chi-square, and f distributions. Moment-generating function methods, Bayesian estimation, and introduction to hypothesis testing.","['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770,MATH 4261,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Mayya   Zhilova' 'Karim   Lounici' 'Ionel   Popescu'
 'Vladimir   Koltchinskii' 'Liang   Peng']","fall2024, fall2023, fall2022, fall2021, and fall2020","Mayya Zhilova, Karim Lounici, Ionel Popescu, Vladimir Koltchinskii, and Liang Peng"
MATH 4262 - Math Statistics II,"Hypothesis testing, likelihood ratio tests, nonparametric tests, bivariate and multivariate normal distributions.","['MATH 4261', 'MATH 3236']",MATH 4261 or MATH 3236,MATH 4262,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Mayya   Zhilova' 'Vladimir   Koltchinskii' 'Ionel   Popescu'
 'Liang   Peng' 'Zsolt   Talata']","spring2025, spring2024, spring2023, spring2022, and spring2021","Mayya Zhilova, Vladimir Koltchinskii, Ionel Popescu, Liang Peng, and Zsolt Talata"
MATH 4280 - Information Theory,The measurement and quantification of information.  These ideas are applied to the probabilistic analysis of the transmission of information over a channel along which random distortion of the message occurs.,"['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770,MATH 4280,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Soon Ho   Kim' 'Zhiyu   Wang' 'Han   Huang' 'Xing X  Yu'
 'Prasad   Tetali']","spring2025, spring2024, spring2023, spring2022, and spring2021","Soon Ho Kim, Zhiyu Wang, Han Huang, Xing X Yu, and Prasad Tetali"
MATH 4305 - Linear Algebra,"Finite dimensional vector spaces, inner product spaces, least squares, linear transformations, the spectral theorem for normal transformations.  Applications to convex sets, positive matrices, difference equations.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 4305,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Wei   Zhu' 'Igor   Belegradek' 'Armenak   Petrosyan' 'Plamen   Iliev'
 'Wenjing   Liao']","spring2025, spring2024, fall2024, spring2023, and fall2023","Wei Zhu, Igor Belegradek, Armenak Petrosyan, Plamen Iliev, and Wenjing Liao"
MATH 4317 - Analysis I,"Real numbers, topology of Euclidean spaces, Cauchy sequences, completeness, continuity and compactness, uniform continuity, series of functions, Fourier series.",['MATH 2106'],MATH 2106,MATH 4317,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Leonardo   Abbrescia' 'Federico   Bonetto' 'Gong   Chen'
 'Benjamin   Jaye' 'Alex M  Blumenthal']","spring2025, spring2024, fall2024, spring2023, and fall2023","Leonardo Abbrescia, Federico Bonetto, Gong Chen, Benjamin Jaye, and Alex M Blumenthal"
MATH 4318 - Analysis II,"Differentiation of functions of one real variable, Riemann-Stieltjes integral, the derivative in Rn, and integration in Rn.",['MATH 4317'],MATH 4317,MATH 4318,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Leonardo   Abbrescia' 'Zhiwu   Lin' 'Benjamin   Jaye'
 'Galyna   Livshyts' 'Stavros   Garoufalidis']","spring2025, spring2024, spring2023, spring2022, and spring2021","Leonardo Abbrescia, Zhiwu Lin, Benjamin Jaye, Galyna Livshyts, and Stavros Garoufalidis"
MATH 4320 - Complex Analysis,"Topics from complex function theory, including contour integration and conformal mapping.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51,MATH 4320,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Manh Khang   Huynh' 'Matthew   Powell' 'John   McCuan' 'Hannah   Choi'
 'Yoav   Len']","spring2025, spring2024, fall2024, spring2023, and fall2023","Manh Khang Huynh, Matthew Powell, John McCuan, Hannah Choi, and Yoav Len"
MATH 4347 - Partial Diff Eqns I,"Method of characteristics for first- and second-order partial differential equations, conservation laws and shocks, classification of second-order systems and applications.","['MATH 2552', 'MATH 2562', 'MATH 2551', 'MATH 2550', 'MATH 2561']",(MATH 2550 or MATH 2551 or MATH 2561 ) and (MATH 24X3 or MATH 2552 or MATH 2562 ),MATH 4347,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Gong   Chen' 'Zaher Jawdat  Hani' 'Evans M  Harrell' 'Zhiwu   Lin'
 'Chongchun   Zeng']","fall2024, fall2023, fall2022, fall2021, and fall2020","Gong Chen, Zaher Jawdat Hani, Evans M Harrell, Zhiwu Lin, and Chongchun Zeng"
MATH 4348 - Partial Diff Eqns II,"Green's functions and fundamental solutions.  Potential, diffusion, and wave equations.",['MATH 4347'],MATH 4347,MATH 4348,['spring2018' 'spring2017' 'spring2014' 'spring2008'],['Zaher Jawdat  Hani' 'Robert M  Kesler' 'Chongchun   Zeng'],"spring2018, spring2017, spring2014, and spring2008","Zaher Jawdat Hani, Robert M Kesler, and Chongchun Zeng"
MATH 4431 - Introduction to Topology,"Point set topology, topological spaces and metric spaces, continuity and compactness, homotopy, and covering spaces.",['MATH 4317'],MATH 4317,MATH 4431,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Asaf   Katz' 'Rafael   De la Llave' 'Albert   Fathi' 'John   McCuan'
 'Kirsten G  Wickelgren']","fall2024, fall2023, fall2022, fall2021, and fall2020","Asaf Katz, Rafael De la Llave, Albert Fathi, John McCuan, and Kirsten G Wickelgren"
MATH 4432 - Algebraic Topology,"Introduction to algebraic methods in topology. Includes homotopy, the fundamental group, covering spaces, simplicial complexes.  Applications to fixed point theory and group theory.",['MATH 4317'],MATH 4317,MATH 4432,['spring2025' 'spring2023' 'spring2021' 'spring2019' 'spring2017'],"['Anton   Zeitlin' 'Abdoul Karim   Sane' 'Dan   Margalit'
 'Mohammad   Ghomi' 'Igor   Belegradek']","spring2025, spring2023, spring2021, spring2019, and spring2017","Anton Zeitlin, Abdoul Karim Sane, Dan Margalit, Mohammad Ghomi, and Igor Belegradek"
MATH 4441 - Differential Geometry,"The theory of curves, surfaces, and more generally, manifolds.  Curvature, parallel transport, covariant differentiation, Gauss-Bonet theorem.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51,MATH 4441,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Austin   Christian' 'Igor   Belegradek' 'John   Etnyre' 'John   McCuan'
 'Richard Steven  Millman']","fall2024, fall2023, fall2022, fall2021, and fall2020","Austin Christian, Igor Belegradek, John Etnyre, John McCuan, and Richard Steven Millman"
MATH 4541 - Dynamics& Bifurcations I,A broad introduction to the local and global behavior of nonlinear dynamical systems arising from maps and ordinary differential equations.,"['MATH 2552', 'MATH 1512', 'MATH 2562', 'MATH 2403', 'MATH 1554', 'MATH 1502', 'MATH 1564', 'MATH 1522', 'MATH 1553', 'MATH 2413']",(MATH 2403 or MATH 2413 or MATH 24X3 or MATH 2552 or MATH 2562 or MATH 2X52 ) and (MATH 1522 or MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1X53 or MATH 1502 or MATH 1512 ),MATH 4541,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Gong   Chen' 'Hannah   Choi' 'Burak   Hatinoglu' 'Rafael   De la Llave'
 'Guillermo H.  Goldsztein']","fall2024, fall2023, fall2022, fall2021, and fall2020","Gong Chen, Hannah Choi, Burak Hatinoglu, Rafael De la Llave, and Guillermo H. Goldsztein"
MATH 4542 - Dynamics&Bifurcations II,A continuation of Dynamics and Bifurcations I.,['MATH 4541'],MATH 4541,MATH 4542,['spring2018' 'spring2016' 'spring2014' 'spring2013' 'spring2011'],"['Chongchun   Zeng' 'Howard   Weiss' 'Federico   Bonetto'
 'Shui-Nee   Chow']","spring2018, spring2016, spring2014, spring2013, and spring2011","Chongchun Zeng, Howard Weiss, Federico Bonetto, and Shui-Nee Chow"
MATH 4580 - Linear Programming,"A study of linear programming problems, including the simplex method, duality, and sensitivity analysis with applications to matrix games, interger programming, and networks.","['MATH 1512', 'MATH 1522', 'MATH 1502']",MATH 1502 or MATH 1512 or (MATH 15X2 and MATH 1522 ),MATH 4580,['spring2025' 'spring2023' 'spring2021' 'spring2019' 'spring2017'],['Marcel Luis  Celaya' 'Grigoriy   Blekherman' 'Thomas D  Morley'],"spring2025, spring2023, spring2021, spring2019, and spring2017","Marcel Luis Celaya, Grigoriy Blekherman, and Thomas D Morley"
MATH 4581 - Math Methods in Engr,"The Laplace transform and applications, Fourier series, boundary value problems for partial differential equations.","['MATH 2552', 'MATH 2562', 'MATH 2403', 'MATH 2413', 'MATH 2605']",MATH 2403 or MATH 2413 or MATH 24X3 or MATH 2605 or MATH 2552 or MATH 2562 or MATH 2X52,MATH 4581,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Zhiwu   Lin' 'Rafael   De la Llave' 'John   McCuan' 'Molei   Tao'
 'Martin   Short']","spring2025, spring2024, fall2024, spring2023, and fall2023","Zhiwu Lin, Rafael De la Llave, John McCuan, Molei Tao, and Martin Short"
MATH 4640 - Numerical Analysis I,Introduction to numerical algorithms for some basic problems in computational mathematics.  Discussion of both implementation issues and error analysis.,"['MATH 2552', 'MATH 2562', 'MATH 2403', 'MATH 2602', 'MATH 2603', 'MATH 2413', 'MATH 2605']",MATH 2403 or MATH 2413 or MATH 24X3 or MATH 2602 or MATH 2605 or MATH 2552 or MATH 2562 or MATH 2X52 or MATH 2603,MATH 4640,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Spencer   Bryngelson' 'Wenjing   Liao' 'Hao-Min   Zhou'
 'Maryam   Yashtini' 'Molei   Tao']","spring2025, spring2024, fall2024, spring2023, and fall2023","Spencer Bryngelson, Wenjing Liao, Hao-Min Zhou, Maryam Yashtini, and Molei Tao"
MATH 4641 - Numerical Analysis II,Introduction to the numerical solution of initial and boundary value problems in differential equations.,['MATH 4640'],MATH 4640,MATH 4641,['spring2017' 'spring2007'],['Martin   Short' 'Luciano   Lopez'],"spring2017, and spring2007","Martin Short, and Luciano Lopez"
MATH 4755 - Mathematical Biology,Problems from the life sciences and the mathematical methods for solving them are presented.  The underlying biological and mathematical principles and the interrelationships are emphasized. Crosslisted with BIOL 4755.,"['MATH 1512', 'MATH 1546', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1546 or MATH 1522 or MATH 1X53 ) ),MATH 4755,['spring2023' 'spring2021' 'spring2019' 'spring2017' 'fall2012'],"['Daniel   Irvine' 'Gary   Lavigne' 'Leonid   Bunimovich'
 'Ronald Wesley  Shonkwiler' 'Howard   Weiss']","spring2023, spring2021, spring2019, spring2017, and fall2012","Daniel Irvine, Gary Lavigne, Leonid Bunimovich, Ronald Wesley Shonkwiler, and Howard Weiss"
MATH 4777 - Vector&Parallel Sci Comp,"Scientific computational algorithms on vector and parallel computers. Speed-up and algorithm complexity, interprocesses communication, synchronization, modern algorithms for linear systems, programming techniques, code optimization. Crosslisted with CS 4777.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 4777,['fall2016' 'fall2014' 'fall2012' 'fall2010' 'fall2009'],['Nicola   Guglielmi' 'Lew E.  Lefton'],"fall2016, fall2014, fall2012, fall2010, and fall2009","Nicola Guglielmi, and Lew E. Lefton"
MATH 4782 - Quantum Info&Quant Comp,"Introduction to quantum computing and quantum information theory, formalism of quantum mechanics, quantum gates, algorithms, measurements, coding, and information. Physical realizations and experiments. Crosslisted with PHYS 4782.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51,MATH 4782,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Federico   Bonetto' 'Michael   Loss' 'Thomas A  Kennedy'
 'Jean V.  Bellissard']","fall2024, fall2023, fall2022, fall2021, and fall2020","Federico Bonetto, Michael Loss, Thomas A Kennedy, and Jean V. Bellissard"
MATH 4801 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 4801,['spring2024' 'fall2024' 'fall2023' 'fall2022' 'fall2021'],"['Kalila   Lehmann' 'Hunter   Lehmann' 'Neha   Gupta' 'Galyna   Livshyts'
 'Enid   Steinbart']","spring2024, fall2024, fall2023, fall2022, and fall2021","Kalila Lehmann, Hunter Lehmann, Neha Gupta, Galyna Livshyts, and Enid Steinbart"
MATH 4802 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 4802,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['John   McCuan' 'Galyna   Livshyts' 'Richard Steven  Millman' ''
 'Thang   Le']","fall2024, fall2023, fall2022, fall2021, and fall2020","John McCuan, Galyna Livshyts, Richard Steven Millman, , and Thang Le"
MATH 4803 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 4803,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Jake Riley  Watts' 'Austin   Christian' 'Hannah   Choi'
 'Hannah   Turner' 'Martin   Short']","spring2025, spring2024, fall2024, spring2023, and fall2023","Jake Riley Watts, Austin Christian, Hannah Choi, Hannah Turner, and Martin Short"
MATH 4804 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 4804,[],[],,
MATH 4805 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 4805,[],[],,
MATH 4873 - Special Topics,This course enables the school of Mathematics to comply with requests for courses in selected topics.,[],,MATH 4873,[],[],,
MATH 6001 - Intro to Graduate Math,"This course covers practical information helping students start their careers as a professional mathematician. It also satisfies the Georgia Tech RCR requirements for ""in-person"" training.",[],,MATH 6001,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Christopher J  Jankowski' 'Martin   Engman'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Christopher J Jankowski, and Martin Engman"
MATH 6014 - Graph Theory,"Fundamentals, connectivity, matchings, colorings, extremal problems, Ramsey theory, planar graphs, perfect graphs. Applications to operations research and the design of efficient algorithms.",['MATH 4022'],MATH 4022,MATH 6014,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Xing X  Yu' 'Robin   Thomas'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Xing X Yu, and Robin Thomas"
MATH 6021 - Topology-Euclidean Space,"Metric spaces, normed linear spaces, convexity, and separation; polyhedra and simplicial complexes; surfaces; Brouwer fixed point theorem.","['MATH 2406', 'MATH 4305', 'MATH 4317']",MATH 4317 and (MATH 2406 or MATH 4305 ),MATH 6021,['spring2009' 'spring2008' 'spring2007' 'spring2006'],['Igor   Belegradek' 'Thang   Le' 'Plamen   Iliev'],"spring2009, spring2008, spring2007, and spring2006","Igor Belegradek, Thang Le, and Plamen Iliev"
MATH 6112 - Advanced Linear Algebra,An advanced course in Linear Algebra and applications.,['MATH 4305'],MATH 4305,MATH 6112,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Wing S  Li' 'Federico   Bonetto' 'Luca   Dieci'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Wing S Li, Federico Bonetto, and Luca Dieci"
MATH 6121 - Algebra I,"Graduate-level linear and abstract algebra including groups, finite fields, classical matrix groups and bilinear forms, multilinear algebra, and matroids. First of two courses.","['MATH 4107', 'MATH 4305', 'MATH 2406']",MATH 4107 and (MATH 2406 or MATH 4305 ),MATH 6121,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Anton   Leykin' 'Yoav   Len' 'Larry   Rolen' 'Kirsten G  Wickelgren'
 'Josephine   Yu']","fall2024, fall2023, fall2022, fall2021, and fall2020","Anton Leykin, Yoav Len, Larry Rolen, Kirsten G Wickelgren, and Josephine Yu"
MATH 6122 - Algebra II,"Graduate-level linear and abstract algebra including rings, fields, modules, some algebraic number theory and Galois theory. Second of two courses.",['MATH 6121'],MATH 6121,MATH 6122,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Grigoriy   Blekherman' 'Ashley K  Wheeler' 'Yi-Chang   Chen'
 'Kirsten G  Wickelgren' 'Padmavathi   Srinivasan']","spring2025, spring2024, spring2023, spring2022, and spring2021","Grigoriy Blekherman, Ashley K Wheeler, Yi-Chang Chen, Kirsten G Wickelgren, and Padmavathi Srinivasan"
MATH 6221 - Prob Theory for Sci/Eng,"Classical introduction to probability theory including expectation, notions of convergence, laws of large numbers, independence, large deviations, conditional expectation, martingales, and Markov chains.",['MATH 4221'],MATH 4221,MATH 6221,['fall2023' 'fall2022' 'fall2021' 'spring2017' 'spring2015'],"['Ionel   Popescu' 'Michael   Lacey' 'Omar   Abuzzahab'
 'William F  Perkins' 'Christian   Houdre']","fall2023, fall2022, fall2021, spring2017, and spring2015","Ionel Popescu, Michael Lacey, Omar Abuzzahab, William F Perkins, and Christian Houdre"
MATH 6235 - Stoch Process-Finance II,"Advanced mathematical modeling of financial markets, derivative securities pricing, and portfolio optimization. Concepts from advanced probability and mathematics are introduced as needed.","['MATH 2403', 'MATH 6759', 'ISYE 6759']",MATH 2403 and (ISYE 6759 or MATH 6759 ),MATH 6235,['fall2017' 'fall2015' 'fall2014' 'fall2013' 'fall2012'],"['Heinrich   Matzinger' 'Liang   Peng' 'Yury   Bakhtin'
 'Christian   Houdre' 'Robert P  Kertz']","fall2017, fall2015, fall2014, fall2013, and fall2012","Heinrich Matzinger, Liang Peng, Yury Bakhtin, Christian Houdre, and Robert P Kertz"
MATH 6241 - Probability I,"Develops the probability basis requisite in modern statistical theories and stochastic processes.  Topics of this course include measure and integration foundations of probability, distribution functions, convergence concepts, laws of large numbers, and central limit theory. First of two courses.","['MATH 6327', 'MATH 6337']",MATH 6327 or MATH 6337,MATH 6241,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Konstantin   Tikhomirov' 'Vladimir   Koltchinskii' 'Galyna   Livshyts'
 'Michael Keith  Damron' 'Heinrich   Matzinger']","fall2024, fall2023, fall2022, fall2021, and fall2020","Konstantin Tikhomirov, Vladimir Koltchinskii, Galyna Livshyts, Michael Keith Damron, and Heinrich Matzinger"
MATH 6242 - Probability II,"Develops the probability basis requisite in modern statistical theories and stochastic processes.  Topics of this course include results for sums of independent random variables, Markov processes, martingales, Poisson processes, Brownian motion, conditional probability and conditional expectation, and topics from ergodic theory.  Second of two classes.",['MATH 6241'],MATH 6241,MATH 6242,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Konstantin   Tikhomirov' 'Galyna   Livshyts' 'Michael Keith  Damron'
 'Heinrich   Matzinger' 'Christian   Houdre']","spring2025, spring2024, spring2023, spring2022, and spring2021","Konstantin Tikhomirov, Galyna Livshyts, Michael Keith Damron, Heinrich Matzinger, and Christian Houdre"
MATH 6262 - Statistical Estimation,"Basic theories of statistical estimation, including optimal estimation in finite samples and asymptotically optimal estimation.  A careful mathematical treatment of the primary techniques of estimation utilized by statisticians.",['MATH 4262'],MATH 4262,MATH 6262,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Dmitrii   Ostrovskii' 'Cheng   Mao' 'Heinrich   Matzinger'
 'Liang   Peng' 'Vladimir   Koltchinskii']","spring2025, spring2024, spring2023, spring2022, and spring2021","Dmitrii Ostrovskii, Cheng Mao, Heinrich Matzinger, Liang Peng, and Vladimir Koltchinskii"
MATH 6263 - Testing Stat Hypotheses,"Basic theories of testing statistical hypotheses, including a thorough treatment of testing in exponential class families.  A careful mathematical treatment of the primary techniques of hypothesis testing utilized by statisticians.",['MATH 4262'],MATH 4262,MATH 6263,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Cheng   Mao' 'Mayya   Zhilova' 'Heinrich   Matzinger'
 'Philippe   Rigollet' 'Nicolas   Vayatis']","fall2024, fall2023, fall2022, fall2021, and fall2020","Cheng Mao, Mayya Zhilova, Heinrich Matzinger, Philippe Rigollet, and Nicolas Vayatis"
MATH 6266 - Linear Statistical Model,"Basic unifying theory underlying techniques of regression, analysis of variance and covariance, from a geometric point of view.  Modern computational capabilities are exploited fully.  Students apply the theory to real data through canned and coded programs.","['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225,MATH 6266,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Heinrich   Matzinger' 'Vladimir   Koltchinskii' 'Mayya   Zhilova'
 'Karim   Lounici' 'Liang   Peng']","fall2024, fall2023, fall2022, fall2021, and fall2020","Heinrich Matzinger, Vladimir Koltchinskii, Mayya Zhilova, Karim Lounici, and Liang Peng"
MATH 6267 - Multivariate Stat Analy,"Multivariate normal distribution theory, correlation and dependence analysis, regression and prediction, dimension-reduction methods, sampling distributions and related inference problems, selected applications in classification theory, multivariate process control, and pattern recognition.",['MATH 4262'],MATH 4262,MATH 6267,['spring2024' 'spring2022' 'spring2020' 'spring2018' 'spring2015'],"['Konstantin   Tikhomirov' 'Heinrich   Matzinger' 'Karim   Lounici'
 'Serge   Guillas']","spring2024, spring2022, spring2020, spring2018, and spring2015","Konstantin Tikhomirov, Heinrich Matzinger, Karim Lounici, and Serge Guillas"
MATH 6307 - Ordinary Diff Eqns I,"This sequence develops the qualitative theory for systems of ordinary differential equations. Topics include stability, Lyapunov functions, Floquet theory, attractors, invariant manifolds, bifurcation theory, normal forms. First of two courses.",['MATH 4542'],MATH 4542,MATH 6307,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Alex M  Blumenthal' 'Molei   Tao' 'Rafael   De la Llave'
 'Shui-Nee   Chow' 'Michael   Westdickenberg']","fall2024, fall2023, fall2022, fall2021, and fall2020","Alex M Blumenthal, Molei Tao, Rafael De la Llave, Shui-Nee Chow, and Michael Westdickenberg"
